Date,County,Waterbody,Category,Species
2026-03-18,Amherst County,Piney River (S. Fork & Proper),B,Brook Trout
2026-03-18,Bath County,Douthat Lake (Only),+,"Rainbow Trout, Brook Trout"
2026-03-18,Rockingham County,Dry River,B,Brook Trout
2026-03-18,Grayson County,Big Wilson Creek,A,Rainbow Trout
2026-03-18,Washington County,Whitetop Laurel (Upper),A,Rainbow Trout
2026-03-18,Washington County,Tennessee Laurel,A,Rainbow Trout
2026-03-18,Patrick County,Dan River (Below Powerhouse),A,"Rainbow Trout, Brown Trout"
2026-03-17,Botetourt County,Jennings Creek,A,"Rainbow Trout, Brook Trout, Tiger Trout"
2026-03-17,Botetourt County,North Creek,B,"Rainbow Trout, Brook Trout"
2026-03-17,Botetourt County,Middle Creek,B,"Rainbow Trout, Brook Trout, Tiger Trout"
2026-03-17,Botetourt County,McFalls Creek,C,"Rainbow Trout, Brook Trout, Tiger Trout"
2026-03-17,Albemarle County,Scottsville Lake (Was Named: Mink Creek Reservoir),A,Rainbow Trout
2026-03-17,Prince William County,Quantico MCB,B,"Rainbow Trout, Brown Trout"
2026-03-17,Albemarle County,Sugar Hollow Reservoir,A,"Rainbow Trout, Brook Trout"
2026-03-17,Page County,Hawksbill Creek,A,"Rainbow Trout, Brook Trout"
2026-03-17,Page County,Cub Run,B,Brook Trout
2026-03-17,Bath County,Bullpasture River,A,"Rainbow Trout, Tiger Trout"
2026-03-17,Highland County,Bullpasture River,A,"Rainbow Trout, Tiger Trout"
2026-03-17,Floyd County,Little Indian Creek,B,Rainbow Trout
2026-03-17,Patrick County,South Mayo River (North Fork),C,Rainbow Trout
2026-03-17,Patrick County,South Mayo River (South Fork),C,Rainbow Trout
2026-03-17,Patrick County,Poorhouse Creek,C,Brook Trout
2026-03-16,Alleghany County,Pounding Mill Creek,B,Brook Trout
2026-03-16,Alleghany County,Smith Creek,C,Brook Trout
2026-03-16,Alleghany County,Clifton Forge Reservoir,A,Brook Trout
2026-03-16,Prince William County,Locust Shade Park,U,"Rainbow Trout, Brown Trout"
2026-03-16,Rockingham County,North Fork Shenandoah River,B,"Rainbow Trout, Brown Trout"
2026-03-16,Augusta County,Upper Sherando Lake,B,Rainbow Trout
2026-03-16,Augusta County,Back Creek,B,Rainbow Trout
2026-03-16,Russell County,Big Cedar Creek,A,Brown Trout
2026-03-16,Scott County,Bark Camp Lake,A,Brown Trout
2026-03-14,Grayson County,Fox Creek,B,Rainbow Trout
2026-03-14,Grayson County,Middle Fox Creek,B,Rainbow Trout
2026-03-13,Craig County,Potts Creek,A,"Rainbow Trout, Brown Trout, Tiger Trout"
2026-03-13,Rockbridge County,South River,B,"Rainbow Trout, Tiger Trout"
2026-03-13,Rockingham County,German River,C,Brook Trout
2026-03-13,Shenandoah County,Tomahawk Pond,B,"Rainbow Trout, Brook Trout"
2026-03-13,Smyth County,Middle Fork Holston River (Chilhowie),A,Rainbow Trout
2026-03-13,Smyth County,Middle Fork Holston River (Marion),A,Rainbow Trout
2026-03-13,Scott County,Big Stony Creek,B,Rainbow Trout
2026-03-13,Scott County,Little Stony Creek,B,Brown Trout
2026-03-13,Bland County,Lick Creek,B,Rainbow Trout
2026-03-13,Tazewell County,Laurel Creek,C,Rainbow Trout
2026-03-13,Pulaski County,Peak Creek-Below Gatewood Reservoir,B,Rainbow Trout
2026-03-12,Roanoke County,Roanoke River (Salem),A,"Rainbow Trout, Brook Trout"
2026-03-12,Bath County,Cowpasture River,A,"Rainbow Trout, Brown Trout, Brook Trout"
2026-03-12,Shenandoah County,Passage Creek,A,"Rainbow Trout, Brown Trout, Brook Trout"
2026-03-12,Warren County,Passage Creek,DH,"Brown Trout, Brook Trout"
2026-03-12,Buchanan County,Dismal River,A,Rainbow Trout
2026-03-12,Nelson County,South Rockfish River,C,Brook Trout
2026-03-12,Bath County,Spring Run,CR,Brook Trout
2026-03-12,Giles County,Dismal Creek,B,Brook Trout
